County, FIPS,Value_Index
"Richland County, Illinois",17159,0.3065
"Rock Island County, Illinois",17161,0.6891
"St. Clair County, Illinois",17163,0.5544
"Saline County, Illinois",17165,0.7412
"Sangamon County, Illinois",17167,0.4303
"Schuyler County, Illinois",17169,0.4109
"Scott County, Illinois",17171,0.0178
"Shelby County, Illinois",17173,0.064
"Stark County, Illinois",17175,0.0194
"Stephenson County, Illinois",17177,0.5516
"Tazewell County, Illinois",17179,0.0948
"Union County, Illinois",17181,0.5172
"Vermilion County, Illinois",17183,0.6582
"Wabash County, Illinois",17185,0.4096
"Warren County, Illinois",17187,0.5328
"Washington County, Illinois",17189,0.0509
"Wayne County, Illinois",17191,0.4386
"White County, Illinois",17193,0.4383
"Whiteside County, Illinois",17195,0.2549
"Will County, Illinois",17197,0.2412
"Williamson County, Illinois",17199,0.43
"Winnebago County, Illinois",17201,0.7629
"Woodford County, Illinois",17203,0.0226
"Adams County, Indiana",18001,0.598
